"Name","Frequency"
"DREW",29
"ISA",29
"JEFFREY",29
"KAREEM",29
"KOLTON",29
"MATHEW",29
"MAXIMILIAN",29
"NEIL",29
"PEYTON",29
"TRENT",29
"ALEC",28
"BRENNAN",28
"DEVON",28
"GIDEON",28
"JAIDEN",28
"KARSON",28
"KENNETH",28
"KHALID",28
"MUSA",28
"AYDIN",27
"BILAL",27
"CYRUS",27
"DUSTIN",27
"FRANK",27
"GORDON",27
"HADI",27
"LANDYN",27
"LELAND",27
"LEON",27
"RAYYAN",27
"ROMEO",27
"TOBIAS",27
"ALLEN",26
"ANGAD",26
"BRAEDEN",26
"GRADY",26
"GREGORY",26
"JAXEN",26
"JULIUS",26
"KEENAN",26
"SULLIVAN",26
"TREVOR",26
"UMAR",26
"VIHAAN",26
"VINCENZO",26
"ABRAHAM",25
"ANGELO",25
"CARLOS",25
"DOMINIK",25
"HASAN",25
"LENNON",25
"MORGAN",25
"ROHAN",25
"ALEJANDRO",24
"ANGUS",24
"AYAN",24
"BRONSON",24
"DAXTON",24
"HUGH",24
"JAY",24
"KYLER",24
"MAKSIM",24
"MATHIAS",24
"RAFAEL",24
"RAIDEN",24
"STEFAN",24
"TAHA",24
"TAYLOR",24
"ALAN",23
"ARNAV",23
"AUGUST",23
"BRAXTON",23
"CAIDEN",23
"DOMENIC",23
"IMRAN",23
"JAYLEN",23
"JOEY",23
"JONAS",23
"KABIR",23
"KARTER",23
"RONIN",23
"TATE",23
"ALBERT",22
"ANTOINE",22
"BRUCE",22
"CALLAN",22
"FILIP",22
"ISHAAN",22
"JAMESON",22
"JAMIE",22
"JENSEN",22
"JETT",22
"KANE",22
"SÉBASTIEN",22
"TONY",22
"ALESSIO",21
"ARVIN",21
"AXEL",21
"BRADEN",21
"CASEY",21
"EMANUEL",21
"EMERY",21
"KEITH",21
"KOHEN",21
"LENNOX",21
"MADDEN",21
"MARCEL",21
"MARKO",21
"PHILLIP",21
"PRINCE",21
"RUSSELL",21
"TOBY",21
"WINSTON",21
"ZAKARIYA",21
"ZAYD",21
"ZION",21
"AARYAN",20
"ADRIEN",20
"ALEKSANDAR",20
"ALVIN",20
"ANDREAS",20
"ARMAN",20
"BOWEN",20
"BRANTLEY",20
"EDISON",20
"FREDERICK",20
"GARRETT",20
"GIOVANNI",20
"GRAEME",20
"HARRY",20
"HUSSEIN",20
"LAWRENCE",20
"NELSON",20
"STANLEY",20
"SUBHAN",20
"TALON",20
